image_id,category,detail,truth,printed_text,parser_on_printed_text,parser_ok,v6_baseline_pred,v6_baseline_ok,ocr_risk,review_note
106,Parser,연도 없는 월.일(MM.DD) 미지원,NONE-10-20,10:20 13:53,NONE,False,,,"플라스틱 뚜껑 반사, 점자식(도트) 인쇄","판정: NONE-10-20 / 인쇄: 10:20 13:53 / 근거: ""10:20 13:53""에서 앞의 10:20은 월.일(10월 20일), 뒤는 시각. 연도 미인쇄 / 기존라벨: 기존300 없음, 신규 틀림(NONE) / 오류유형: 신규 라벨 판독 누락(읽을 수 있는 월·일을 전부 NONE 처리) / 왜 검수대상·애매: 신규 라벨이 전부 NONE; 이전 이미지 확인 대상(판정 미확정) / 도트 인쇄 + 월·일 구분자가 ':'라 시각처럼 보임 / Parser: Parser 문제 - 연도 없는 월.일(MM.DD) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
157,OCR,인쇄 글자로는 Parser 정답인데 v6 실제 실행은 오답,2027-07-08,L1904 / 08/07/2027,2027-07-08,True,NONE,False,"도트 인쇄, 일부 흐림","판정: 2027-07-08 / 인쇄: L1904 / 08/07/2027 / 근거: ""08/07/2027""을 일/월/년 순으로 판정 / 기존라벨: 기존300 틀림(2027-08-07), 신규 맞음 / 오류유형: 날짜 순서(DD/MM vs MM/DD) 해석 차이 / 왜 검수대상·애매: 날짜 순서(월/일, 연/일)가 모호하다고 자동 표시; 기존 300 라벨과 신규 라벨이 서로 다름; 이전 이미지 확인 대상( -> 다만 다시 직접 확인해봤을 때 2027년 7월 8일로 확인됨) / 08/07은 8월 7일(MM/DD)과 7월 8일(DD/MM) 모두 가능한 날짜 / Parser: OCR 추정 - 인쇄 글자로는 Parser 정답, 예선 v6 실제 실행은 NONE → 정서현 전달"
515,Parser,문자 U를 숫자로 보는 패턴이 잘못된 구간을 먼저 차지,2026-01-NONE,201045 46 +U 2026. 01,NONE,False,2022-09-22,False,도트 인쇄,"판정: 2026-01-NONE / 인쇄: 201045 46 +U 2026. 01 / 근거: ""2026. 01""이 소비기한(연.월). 앞의 201045·46은 로트/코드 숫자 (검수 메모: 앞에 6자리, 2자리 숫자 해서 총 8자리가 있는데 시작이 2010~으로 시작해서 헷갈릴 수 있음) / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / 앞쪽 숫자열이 2010으로 시작해 날짜처럼 보일 수 있음 / Parser: Parser 문제 - 문자 U를 숫자로 보는 패턴이 잘못된 구간을 먼저 차지 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
763,Parser,연도 없는 월.일(MM.DD) 미지원,NONE-11-12,11.12 05시F2 / EPC5,NONE,False,NONE,False,"도트 인쇄, 곡면","판정: NONE-11-12 / 인쇄: 11.12 05시F2 / EPC5 / 근거: 연도 미인쇄, 월.일만 표기 (검수 메모: 11. 12  05시F2 라서 약간 헷갈림) / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 날짜 순서(월/일, 연/일)가 모호하다고 자동 표시; 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: Parser 문제 - 연도 없는 월.일(MM.DD) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
770,문제 없음,Parser 정답 (v6 실행 기록 없음: OCR은 미검증),2030-04-NONE,LOT NO. 제조번호 / HEWO15E55 / 04/2030 / EXPIRY DATE 사용기한,2030-04-NONE,True,,,홀로그램 포장 빛 반사 심함,"판정: 2030-04-NONE / 인쇄: LOT NO. 제조번호 / HEWO15E55 / 04/2030 / EXPIRY DATE 사용기한 / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Day 없는 소비기한, 빛 반사도 심함) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
777,문제 없음,Parser 정답 (v6 실행 기록 없음: OCR은 미검증),2026-03-NONE,K26560-14C23-F / 소비기한 : / 2026. 03,2026-03-NONE,True,,,비닐 빛 반사 심함,"판정: 2026-03-NONE / 인쇄: K26560-14C23-F  소비기한 :  2026. 03 / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Day 없는 소비기한, 빛 반사도 심함) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
789,Parser,연도 없는 월.일(MM.DD) 미지원,NONE-12-19,12.19 D1758,NONE,False,NONE,False,"도트 인쇄, 병뚜껑 곡면","판정: NONE-12-19 / 인쇄: 12.19 D1758 / 근거: 연도 미인쇄, 월.일만 표기 (검수 메모: Year 없는 소비기한) / 기존라벨: 기존300 맞음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: Parser 문제 - 연도 없는 월.일(MM.DD) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
824,Parser,연도 없는 월.일 + 시각 숫자가 날짜로 섞임(오답 생성),NONE-12-18,유통기한 12.18. 10:41 F5 / 제조일자 12.06. 10:41 D1 / 까지,2018-12-10,False,,,clear,"판정: NONE-12-18 / 인쇄: 유통기한 12.18. 10:41 F5 / 제조일자 12.06. 10:41 D1 / 까지 / 근거: 유통기한 줄 ""12.18.""(12월 18일), 아래 제조일자 줄 ""12.06.""은 제외. 연도 미인쇄 (검수 메모: Year이 없는 소비기한이며, 제조기한과 같이 있어서 더 미래의 날짜로 선택해야 할 필요성) / 기존라벨: 기존300 없음, 신규 틀림(NONE-12-19) / 오류유형: 신규 라벨 숫자 오독(18을 19로 기록) / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / 유통기한·제조일자 두 날짜가 붙어 있고 도트 인쇄의 8/9가 비슷함 / Parser: Parser 문제 - 연도 없는 월.일 + 시각 숫자가 날짜로 섞임(오답 생성) (인쇄 글자 입력 시 현재 Parser 결과: 2018-12-10)"
905,문제 없음,Parser 정답 (v6 실행 기록 없음: OCR은 미검증),2022-01-NONE,EXP:01.2022 / BP.1.510 2,2022-01-NONE,True,,,비닐 빛 반사,"판정: 2022-01-NONE / 인쇄: EXP:01.2022 / BP.1.510 2 / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: EXP로 시작하고, 날짜가 거꾸로 01.2022 로 되어 있고 Day 가 없음) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
907,문제 없음,"Parser 정답, v6 실제 실행도 정답",2022-01-NONE,EXP:01.2022 / BP.1.510 2,2022-01-NONE,True,2022-01-NONE,True,비닐 빛 반사 (905와 같은 사진),"판정: 2022-01-NONE / 인쇄: EXP:01.2022 / BP.1.510 2 / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: 905랑 같은 사진) / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답, 예선 v6 실제 실행도 정답"
994,Parser,연도 없는 월.일(MM.DD) 미지원,NONE-02-18,02.18까지 / 15:49.F1A,NONE,False,,,도트 인쇄,"판정: NONE-02-18 / 인쇄: 02.18까지 / 15:49.F1A / 근거: 연도 미인쇄, 월.일만 표기 (검수 메모: Year이 없고, 시간이 같이 적혀 있음) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: Parser 문제 - 연도 없는 월.일(MM.DD) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
